,location,company,title,salary,description,review,star,country
6,Sydney NSW,Jacobs,Surveyor,,"Understanding of 3D laser scanning data capture, processing and mdelling.
Jacobs environmental scientists, engineers and technicians perform a variety of…",,,Australia
7,Westmead NSW,Children's Medical Research Institutue,"Senior Research Assistant/Junior Postdoctoral Scientist, Functional Neuromics",,"Bioinformatics experience including analysis of genomics data and computational.
Make an important contribution to the health of children through medical…",,,Australia
3,Sydney Western Suburbs NSW,NSW Health Service,Trainee,"$81,639 - $127,539 a year",Westmead Hospital is one of Australia’s largest centres for postgraduate training to specialist levels in all fields with over 100 PhD students and other…,,,Australia
6,Concord NSW,NSW Health Pathology,Supervisor,"$63,136 a year","Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…",,,Australia
7,Sydney NSW,Continuum Recruitment,Data Scientist,,"Within this role, you will be responsible for working with large datasets to conduct data mining, analyse trends and design statistical and machine learning…",,,Australia
8,Sydney NSW,Talenza,Data Scientist | Contract,,"Strong experience physically constructing and compiling data models.
Design large-scale optimization algorithms based on real-world data.",,,Australia
9,Parramatta NSW,Earth AI Operations Australia,Software Engineer,"$100,000 - $129,999 a year","2 years of experience as a data engineer.
Proficiency with python for solving big data problem.
You will uphold the coding standard and promote the best…",,,Australia
10,Sydney NSW,Clemenger Group,Head of Strategy (Media),,Working with data planners and scientists to find interesting ways to better understand the audience – what they think and how they behave.,,,Australia
11,Sydney NSW,Clemenger Group,"Addressable Executive, Programmatic",,"We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.
Running DBM for CHE Proximity.",,,Australia
2,Sydney NSW,Retail Insight,Decision Scientist,,"The huge amount of data that we’re harnessing requires creativity to transform data and insight into truly innovative solutions.
A bit about the role: *.",,,Australia
3,Potts Hill NSW,Sydney Water,Information Specialist,"$108,054 a year","Subject matter expert in data analysis, analytics, data science and report writing.
Microsoft Power BI or similar data visualization tools.",,,Australia
6,Sydney NSW,Clemenger Group,Marketing Automation Specialist (Marketo),"$110,000 a year",Collaborating with a data scientist and experience planner on defining a new journey recommendation for the new customer onboarding process that would maximise…,,,Australia
7,Westmead NSW,Children's Medical Research Institutue,"Bioinformatician, Computational Functional Genomics",,"Highly experienced research data scientists/bioinformaticians.
Demonstrated experience in transcriptome data analysis.
Committed research and support staff.",,,Australia
8,Sydney NSW,Digital Alchemy,Account Executive,,"Basic knowledge & understanding of data solutions, CRM and marketing would be advantageous but not essential.
As the Account Executive, you will collaborate and…",,,Australia
9,Sydney Central Business District NSW,Commonwealth Bank,Senior Manager Data Science,,"Lead a small team of data scientists to deliver insights and build scalable models.
Experience in a data science role.
See yourself in our team.",,,Australia
7,Sydney NSW,Zone IT Solutions,Data Scientist,,"We are hiring for a Data Scientist for a Global Consulting client in Melborne.
Core exp as a Data Scientist – developing and optimizing algorithms using ML and…",,,Australia
9,Sydney NSW,WSP Australia,Senior Remuneration Consultant,,"Advanced Excel modelling and data management skills.
We are technical experts and strategic advisors including engineers, technicians, scientists, architects,…",,,Australia
13,Sydney NSW,Anton Murray Consulting,Buy-Side Research / Investment Analyst,"$100,000 - $150,000 a year","This is an amazing opportunity to join a leading firm as a Buy-Side Research Analyst supporting their front office.
Part to full way through their CFA and.",,,Australia
2,Sydney NSW,ALRA,Environmental Planner / Scientist,"$90,000 - $160,000 a year","You’ll provide end-to-end project management from consultation, assessment, and client liaison to team coordination (contractor management, invoicing, drafting,…",,,Australia
4,Sydney NSW,Fractal.ai,"Lead Engineer, Python",,"Supporting Data Science Teams by refining datasets used by data scientists.
5-6 years of experience in data modeling, ETL development, and data warehousing.",,,Australia
6,Sydney NSW,Seer,Neurophysiology Scientist,"$70,000 - $90,000 a year","Securely transfer and manage patient data.
Maintain data integrity via remote login/ contacting patients via telephone.
Capable of meeting tight deadlines.",,,Australia
7,Sydney NSW,Digitas,Search Manager,,"Our global workforce of 7,000 includes industry-leading creatives in each region, working with data scientists, technology experts and media specialists to…",,,Australia
8,Westmead NSW,Children's Medical Research Institutue,"Biostatistician, ProCan​",,"We invite applications from PhD scientists to join our group.
Proteome association analysis and multi-omic data integration for studying cancer, 3).",,,Australia
0,Sydney NSW,Profusion Group,"Analyst, Quantitative Analysis and Governance","$100,000 a year","Good working knowledge of Advanced Excel, VBA and data analysis - complex quantitative finance and investment analysis and produce key metrics.",,,Australia
3,Sydney NSW,CSIRO,CSIRO Postdoctoral Fellowship in Bioinformatics and Statistical Genetics,"$83,000 - $94,000 a year","Do you have advanced data analytics capabilities?
It is the largest eHealth research group in Australia with 100 research scientists working with clinicians and…",,,Australia
4,Sydney NSW,Bohemia Sydney,Bohemia Sydney - Senior Media Manager,"$80,000 - $90,000 a year","Bohemia is so much more than a media agency, we are a business of innovators, negotiators, mavericks and scientists all working together to solve the biggest…",,,Australia
6,Sydney NSW,Institutional Shareholder Services Inc,Corporate Governance Research Analyst,,"Work with ISS' global data, product and analytics teams as part of the data capture and research function.
The responsibilities of the role will be primarily…",,,Australia
1,Sydney NSW,Amazon Corporate Services Pty,Systems Development Manager,,"The Network Health team is a mixed-discipline team, with software developers, systems engineers, data scientists, and networking experts, based in Sydney.",,,Australia
2,Sydney NSW,WSP Australia,Senior Signaling Engineer - Sydney,,"Development of complex Signal designs, checking and verification of signaling interlocking data, signalling plans, track insulation plans, control tables and…",,,Australia
6,Sydney NSW,Digitas,Senior Front-End Developer,,"Our global workforce of 7,000 includes industry-leading creatives in each region, working with data scientists, technology experts and media specialists to…",,,Australia
7,Sydney NSW,Quantium,Senior Application Engineer,,"Since 2002, our data teams have wrung every bit of information they can from our clients’ data in order to give them the insight they need to make a real…",,,Australia
8,Sydney NSW,WSP Australia,Occupational Hygiene Consultant & Team Leader,,"Ability to collect and process data and prepare technical reports on small to medium projects.
We are technical experts and strategic advisors including…",,,Australia
1,Sydney NSW,Greythorn,Data Engineer,,"Collaborate with data scientists to determine what data is needed for analysis.
Develop data set processes for data modelling, mining and production.",,,Australia
2,Sydney NSW,Clemenger Group,Senior Addressable Manager,,We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.,,,Australia
