,location,company,title,salary,description,review,star,country
6,Garden Island NSW,Thales Group,Senior ILS Engineer,,The Project requires an activity to remediate configuration and technical data within the Naval Logistic Information System (NLIS) including but not limited to…,,,Australia
7,Sydney NSW,Westpac Group,Senior Service Engineer,,"Big data, machine learning & analytics.
Service Engineering is responsible for assisting in the development and maintenance of service reference architecture…",,,Australia
8,Sydney NSW,CRP,Software/App Developer,"$55,000 - $65,000 a year","Experience working as a back end software engineer within the Java eco-system, full stack experience is also beneficial-.",,,Australia
9,Sydney NSW,InDebted,Software Engineers,,"InDebted is looking for experienced engineers to help us rebuild our platform from the ground up.
InDebted is changing the way organisations recover debt by…",,,Australia
10,Mascot NSW,Eaton,National Certified Partner Sales Engineer – PQ,,"Experience in Three Phase (3P) UPS systems, high level data center design principles and associated systems design.
We make what matters work.",,,Australia
11,North Ryde NSW,Ricoh,Senior Network Engineer,,"As a world-leading provider of workplace technology, Ricoh is all about improving work life by providing better user experiences, optimised workflows, anytime…",,,Australia
12,Sydney NSW,Robert Walters,Software Engineer - C++,,"Understanding of distributed systems, data structures and algorithms.
Collaboration, advanced technology, solutions and automation.",,,Australia
5,Sydney NSW,Quantium,Senior UI Application Engineer,,"Our expertise in delivering highly complex data decisions based on our algorithmic and data capability.
Since 2002, our data teams have wrung every bit of…",,,Australia
6,Sydney NSW,Hewlett Packard Enterprise,Cloud Architect,,"Our architects and engineers have been crafting, building and implementing IT solutions for enterprise customers across industries for an average of more than…",,,Australia
8,Sydney NSW,Freelancer.com,Network Engineer,"$90,000 - $99,999 a year","So if you are technically strong engineer who can work independently, has a vision for a “perfect network”, and is able to execute and deliver on that vision,…",,,Australia
9,Sydney NSW,"Medallia, Inc.","Professional Services, Senior Analyst (Sydney or Melbourne)",,"Provide client support when analyzing large sets of data.
We believe that people should not be defined only by a job title—nobody is ""just an engineer"" or ""just…",,,Australia
10,Sydney NSW,Talenza,Quality Engineer,$700 - $875 a day,"Guide and lead the development of test plans, test data, and the overall testing strategy for all phases of testing.
Role: Senior QA Test Engineer.",,,Australia
11,Sydney NSW,Google,"SAP Sales Specialist, Google Cloud",,"The Google Cloud Platform team helps customers transform and evolve their business through the use of Google’s global network, web-scale data centers and…",,,Australia
3,St Leonards NSW,MasterCard,"Associate Database Engineer II, Oracle",,"Understanding of logical and physical data models.
Uses strong writing and verbal communication skills to build awareness and to proactively promote DBA’s…",,,Australia
5,Sydney NSW,IRESS Limited,Senior Software Engineer,,"Lumen is an Iress product that provides data-driven analytics, compliance and key risk indicator (KRI).
See yourself being part of a large, transformational…",,,Australia
6,Tuggerah NSW,"Modular Mining Systems, Inc.",Applications Engineer,,"Ability to analyse technical data and look for opportunities and solutions.
The products that we create, the solutions we engineer and the service we deliver…",,,Australia
7,Sydney Central Business District NSW,NTT,Dev Security Operations Engineer,,"For us, intelligent means data driven, connected, digital, and secure.
Is innovation part of your DNA?
Do you want to enable a connected future for people,…",,,Australia
8,Macquarie Park NSW,Trustwave,Sales Development Representative,,"Trustwave is a leading cybersecurity and managed security services provider that helps businesses fight cybercrime, protect data and reduce security risk.",,,Australia
9,Barangaroo NSW,Nearmap,Software Developer,,"Nearmap’s developers bring fresh ideas from all areas, including geospatial data, tools and imagery, 3D modelling, large-scale system design, interactive data…",,,Australia
10,Sydney NSW,Dimension Data,Senior Genesys Systems Engineer,,"Assume responsibility for the co-ordination of the activities of the engineers at the formation/inception phase of a project, through to its successful…",,,Australia
12,Sydney NSW,"Susquehanna International Group, LLP",Software Engineer - Back Office Trade,,"Experience working with complex data models.
Our back-office team is responsible for capturing and managing the firm’s trading activity and Clearer data, as…",,,Australia
3,Sydney NSW,Amazon Corporate Services Pty,FOC Ops Support Engineer II,,The Facility Operations Center team is looking for an Engineer interested in developing and maintaining our global alarm platform for managing high severity…,,,Australia
4,Sydney NSW,Optiver,SENIOR SOFTWARE ENGINEER - TRADING SYSTEMS,,"Test-driven and data-driven design and development experience.
We hire people who thrive when solving problems.
A passion for delivering high quality software.",,,Australia
5,Sydney NSW,Baraja,Software Engineer (Perception Tech Lead),,"Experience creating data visualisation and.
Dealing with big data / distributed computing.
Experience in leading a small or large team of amazing engineers,.",,,Australia
6,Sydney NSW,Slack,Sr. Solutions Engineer,,"Slack is a layer of the business technology stack that brings together people, data, and applications – a single place where people can effectively work…",,,Australia
7,Sydney NSW,Akuna Capital,Junior Developer - C++,"$100,000 a year",Training and continuous education if provided for all engineers to ensure they have the skills and knowledge needed to be successful.,,,Australia
8,Sydney NSW,Dell,ACE Architect – Networking & Security,,"Understanding of modern IT production data center and Internet(ISP/ASP) hosting operations.
We look beyond the barriers of compromise to engineer new ways to…",,,Australia
9,Sydney NSW,BigWorld Technology,QA Analyst (Native Mandarin Speaker),,"Please see our privacy policy detailed on our website for details on how Wargaming uses your personal data.
You'll be working within a team of engineers to help…",,,Australia
10,Sydney NSW,First Solar,PV Plant Performance Engineer II,,"As part of their professional experience the candidate should have spent significant time doing root cause analysis, working with large data sets, visualizing…",,,Australia
12,Sydney NSW,CrowdStrike,Senior Site Reliability Engineer,,"Degree in Computer Science (or commensurate experience in data structures/algorithms/distributed systems).
We’re building the next-generation infrastructure and…",,,Australia
3,North Ryde NSW,Aristocrat Technologies Australia P/L,Senior Mechanical Engineer,,To support the exchange of CAD data between internal and external partners ensuring that all data is controlled via Aristocrat CAD control procedures.,,,Australia
4,Sydney NSW,Clemenger Group,Marketing Automation Specialist (Marketo),"$110,000 a year","Working through some data security issues with IT stakeholders.
Working with CHEP Engineers and QA Analysts to collaborate on advanced concepts such as data…",,,Australia
5,Sydney NSW,MRI Software,Senior Cloud Software Engineer,,"Exposure to non-SQL data stores.
Founded in 1971, MRI Software is a leading provider of innovative real estate software applications and hosted solutions.",,,Australia
6,Sydney NSW,New Relic,Solutions Consultant,,The main responsibility of the Solution Consultant is to support New Relic sales opportunities for complex sales engagements supporting field sales engineers.,,,Australia
7,Sydney NSW,AWS Australia Pty Ltd,Cloud Support Associate - 2019 or 2020 Graduates,,"We have a team of talented engineers located in a number of countries around the world and are growing rapidly.
Excellent oral and written communication skills.",,,Australia
8,Sydney NSW,"Fiserv, Inc.",Systems Engineer II,,"You will be part of a talented team of engineers that demonstrate superb technical competency, supporting mission critical infrastructure and ensuring the…",,,Australia
9,Sydney NSW,Lendi,Senior Software Engineer - Java & Node.JS,,"Experience working with varied data sources (SQL, NOSQL).
Our developers and engineers are key to leading that revolution.
Ability to work in an agile team.",,,Australia
10,Sydney NSW,LTK Engineering Services,Rail Vehicle Electrical and Electronic Systems Engineer,,"Perform field tests and investigations of electrical phenomena and set up/utilize electrical measurement equipment – voltage/current sensors, pressure…",,,Australia
11,Alexandria NSW,Panasonic Avionics Corporation,Maintenance Services Representative,,"Strong ability to professionally and clearly communicate with customers (engineers, flight crew and colleagues).
This role is not for the faint hearted!",,,Australia
12,Sydney NSW,Domain Group,Senior Software Engineer,,"We regularly send our engineers to conferences, we provide Pluralsight licenses to developers and there are usually brown bag talks on the latest technologies.",,,Australia
2,Sydney NSW,Macquarie Group Limited,Senior Architect - Customer Engagement Platforms,,"You understand the role of data in driving a differentiated customer experience;
Comfortable providing technical leadership to experienced engineers working…",,,Australia
3,Sydney NSW,Talenza,Software ML Engineer (x5),,"Principle Data Engineer | Trading Platform | Contract 900-1050 p.d.
Talenza has been engaged by one of our enterprise accounts in their search for a highly…",,,Australia
4,St Leonards NSW,MasterCard,Consultant Software Developer,,"In this role, you will be a key member of a highly agile team of engineers within MasterCard Labs, working to build product prototypes and pilots, in…",,,Australia
6,Sydney NSW,ACRWORLD,Sales/Proposal Engineer - Solar,"$70,000 - $90,000 a year","Capability to use solar modelling tools; analytical modelling of energy pricing, utility data and solar generation.
Leading company in Commercial Solar.",,,Australia
7,Sydney NSW,Qwilr,Senior Full Stack Engineer,,"As a senior full-stack engineer, here's what your role would entail:
You have a mentor-level understanding of data models and know when to apply which model.",,,Australia
8,Sydney NSW,Core Talent,Delivery Stormwater Engineer,,"Carry out asset data collection and review as required and ensure that information is interpreted accurately, actioned and stored appropriately.",,,Australia
9,Sydney NSW,PRA,Data Engineers/ETL Developers - Multiple Opportunities - Mid to Senior Level,"$120,000 - $140,000 a year","Experience in designing, testing, deploying and maintaining data engineering and ETL solutions;
Exposure to big data platforms such as Hadoop, Teradata,…",,,Australia
1,Sydney NSW,Microsoft,Program Manager 2,,"Deliver data-driven insights to and for the region.
FastTrack takes a solution-centric approach, providing customers with access to Microsoft Azure engineers,…",,,Australia
2,Sydney NSW,Hyre Pty Ltd,Data Scientist / Lucrative Horse Racing Prediction Up to $200K + Super,"$200,000 a year","Made up of mathematicians, statisticians, and software engineers, they are incredibly delivery focused, working with large sets of data for their clients.",,,Australia
3,Sydney NSW,Limelight Consulting Group Pty Ltd,Senior DevOps Engineer - Big Data Product Business,,"Working within a cross functional team, alongside data scientists and software engineers, you will be focused on delivering continuous delivery and…",,,Australia
4,Sydney NSW,Robert Walters,Systems Engineer,,"Manage Linux server infrastructure at domestic and global data centres.
Work with developers and engineers to investigate new products and techniques.",,,Australia
5,Sydney NSW,"SoftLayer Technologies, Inc.",Site Manager (Sydney),,"Overseeing the daily operation of an enterprise-level data center.
Calculating metrics to analyze the performance of the data center technical staff.",,,Australia
6,Sydney Central Business District NSW,Experis,Date Engineer/Developer,,"Experience designing, building and operating data pipelines.
Perform data migration from Oracle Sales Datawarehouse to Snowflake environment.",,,Australia
7,Sydney NSW,hipages,"Senior Fullstack Software Engineer (Node, React)",,"Experience with NoSQL data stores.
We're looking for several Senior Fullstack Software Engineers who are soon to be Tech Leads / Lead Engineers to join the…",,,Australia
8,Sydney NSW,BizCover,Senior Quality Assurance Engineer,,"Maintain/Create test data for the automated test scripts.
We value uniqueness and character and are looking for a talented Senior Quality Assurance Engineer to…",,,Australia
1,Sydney NSW,Salt Recruitment,Splunk Engineer,"$140,000 - $173,000 a year","Perform data mining and analysis, using various query and reporting methods.
Understanding of System Log Files and other structured and non-structured data.",,,Australia
2,Alexandria NSW,Intelligent Recruitment,Quality Engineer / Metallurgist,"$70,000 - $80,000 a year","They have had a strong and proactive continuous improvement focus over many years and use data analytics to inform decision making.
$70,000 - $80,000 + super.",,,Australia
4,Sydney NSW,Atlassian,"Senior Frontend Engineer, Jira Shared Experiences",,"Knowledge of web protocols data flow and performance optimisations.
A data-driven approach (experiment and measure).
We are driven but team-oriented.",,,Australia
7,Sydney NSW,AWS Australia Pty Ltd,Solutions Architect (Media & Entertainment),,"The ideal candidate will have experience building and operating reliable and secure Internet-scale platforms such as a Solutions Architect, Platform engineer,…",,,Australia
8,Sydney NSW,Isentia,Senior Software Engineer,,"Experience with distributed systems, data architecture, data modelling and data integration.
This starts with our Tech engineers working with the latest cloud…",,,Australia
9,Sydney NSW,Amazon Support Services PtyLtd,"Security Engineer, Incident Response",,"Working alongside and mentoring Information Security engineers to improve security, reduce and quickly address risk.",,,Australia
10,Sydney NSW,CSIRO,CSIRO Postdoctoral Fellowship Machine Learning & Artificial Intelligence: Constraints (2 Positions),"$83,000 - $94,000 a year","Join CSIRO’s Data61, the largest data innovation group in Australia.
CSIRO Early Research Career (CERC) Postdoctoral Fellowships provide opportunities to…",,,Australia
2,Sydney NSW,Cloudflare,"Business Development Representative (Australia), Sydney - based",,We will continue to abide by ourprivacy policy ( https://developers.cloudflare.com/1.1.1.1/commitment-to-privacy/privacy-policy/privacy-policy/ ) and ensure…,,,Australia
3,St Leonards NSW,MasterCard,"Associate Database Engineer II, SQL Server",,"Understanding of logical and physical data models.
Uses strong writing and verbal communication skills to build awareness and to proactively promote DA’s…",,,Australia
4,Sydney NSW,econtrol,Building Automation,,"Experienced Building Automation and Systems Integration Project Engineer.
We are looking for an experienced Building Automation, Energy Management and Systems…",,,Australia
5,Sydney NSW,AWS Australia Pty Ltd,"Security Engineer, Research and Automation, AWS",,"You also perform research to enhance the stance of Security, and the efficiency of Operations, through metrics and various data analysis.",,,Australia
6,Sydney NSW,Thales Group,Condition Assessment and Monitoring Coordinator,,"Experience interpreting thermal imaging, oil and vibration analysis data.
The Condition Assessment/Monitoring Coordinator is responsible for developing the plan…",,,Australia
7,Sydney NSW,FCR Motion Technology,Field Sales Representative - Motion Technology,,"Maintain accurate customer records, CRM data and sales reporting data to maximise potential from the customer base.
Assist customers with engineering solutions.",,,Australia
8,Sydney NSW,Ukufu,Senior Full-stack Software Engineer : Remote/Part Remote Optional,,"Experience on AWS environment using Serverless tools like Lambda, Fargate and/or data pipelines such as kinesis/kafka.
Work with exciting AI & mobile tech.",,,Australia
1,Sydney NSW,Macquarie Group Limited,Senior Windows Systems Administrator,,"As a progressive engineer who loves to make manual work go away!
Bring your enthusiasm and creativity to our team and help us improve our Windows Server…",,,Australia
2,Redfern NSW,Cubic Corporation,Senior .net Developer,,"Mentor software engineers and graduate software engineers in the team.
Promoting design governance towards software components and data models, leading formal…",,,Australia
3,Sydney NSW,Numinous,Cloud Engineer,,"Build enterprise-grade data and inference pipelines that enable the AI & ML products.
Ability to collaborate with different technical resources like data…",,,Australia
4,Sydney Central Business District NSW,Commonwealth Bank,Senior Analyst Financial Crime Intelligence Unit,,"We have some of Australia’s leading engineers and data scientists, and work hard to create an environment that feels more tech than corporate.",,,Australia
5,Sydney NSW,BAR360,ICT Business Analyst,,Using data and process modelling techniques to create clear system specifications for the design and development of system software.,,,Australia
6,Sydney NSW,Elastic,Consulting Engineer | Security Specialist | Syd/Melb,,"Solving our customers' most challenging data problems.
At Elastic, we have a simple goal: to solve the world's data problems with products that delight and…",,,Australia
7,Sydney NSW,ELMO Talent Management Software,Product Business Analyst,,Key to this role is an awareness of data privacy and security as you will be dealing with sensitive employee data in accordance with ELMO’s ISO27001:2013…,,,Australia
8,Sydney NSW,Michael Page,Electrical Engineer,,"EAE Elektrik products are used in industrial facilities, data centres, business centres, the automotive industry, malls, high-rise buildings, factories and…",,,Australia
9,Sydney NSW,Amazon Support Services PtyLtd,Senior System Development Engineer,,"Using data learned from those incidents you will drive further improvements into our automation, tooling, and processes so that the next event is shorter or…",,,Australia
10,Sydney Central Business District NSW,Commonwealth Bank,"Manager, Release Management",,"Use your analytical mindset to drive decisions based on data.
Identify tooling gaps which would help our engineers be more productive.",,,Australia
1,Sydney NSW,Amazon Support Services PtyLtd,Incident Management Support Engineer,,"Using data learned from those incidents you will drive further improvements into our automation, tooling, and processes so that the next event is shorter or…",,,Australia
2,Sydney Central Business District NSW,Core Talent,Traffic Engineer,"$60,000 - $70,000 a year","Capture and analyse traffic data to identify relevant issues and predicted growth to develop recommendations, solutions and timely responses to traffic, parking…",,,Australia
5,Pyrmont NSW,Domain Group,Head of Product - Residential,,"You have a deep analytical capability and drive data based decision making in the team.
The teams will have the opportunity to leverage Domain’s unique data and…",,,Australia
6,Sydney NSW,NASDAQ,VP Software Engineering,,"Scalable to billions of transactions and flexible to manage a number of unique data sources, SMARTS Surveillance holistically examines scenarios across multiple…",,,Australia
7,Sydney Central Business District NSW,Robert Half Australia,Identity Access Management Engineer,$600 a week,Robert Half has partnered with a large financial institution that's in an urgent need for a Identity Access Management Engineer to join their team.,,,Australia
8,Sydney NSW,Autodesk,Account Executive,,"Our software is used by everyone - from design professionals, engineers and architects to digital scientists, students and hobbyists.",,,Australia
9,Sydney NSW,Harvey Nash,Network Project Engineer,,"A leading business in Sydney who are well known for their proactive and creative culture, are urgently hiring for a Projects Networks engineer.",,,Australia
10,Sydney NSW,BSI People,Engineer,,"We are looking for a skilled Engineer with a mixture of Networking, Infrastructure, Security and Software experience.
Windows, macOS, iOS, iPadOS and Android.",,,Australia
1,Sydney NSW,DALET,Pre-Sales and Solution Architect - Sydney,,"Develop specifications for technical requirements, use case models, data models, software architecture models, class and program specifications.",,,Australia
2,Sydney NSW,CSIRO,Research Scientist/Senior Research Scientist in Systems,"$98,000 - $106,000 a year","Join CSIRO’s Data61, the largest data innovation group in Australia.
CSIRO’s Data61 business unit is the largest data innovation group in Australia, bringing…",,,Australia
3,Sydney NSW,Ever Better Recruitment (EBR),Environmental Engineer/Scientist,,"Managing, analyzing and interpreting data.
Possess strong analytical, reporting, and data presentation skills.
Assessment and remediation of risk.",,,Australia
5,Sydney NSW,Akuna Capital,Quantitative Developer,,"Akuna Capital is a young and booming trading firm with a strong focus on collaboration, cutting-edge technology, data driven solutions and automation.",,,Australia
7,Sydney NSW,KAPiTAL Consulting,Junior-Mid level Cisco Network Engineer | Investment Management | Sydney CBD,,"This is an excellent opportunity for a network engineer who has a passion for investment management, trading or funds management to submerse themselves in the 7…",,,Australia
8,Sydney NSW,Thales Group,Electrical Technical Officer,,"Relate and compare data from different sources; identify problems, issues or relations then develop courses of action or make decisions based on factual…",,,Australia
9,Sydney NSW,Quantium,Consultant,,"Deliver high quality analytics, from data quality assessment, data manipulation, method selection, design & application, insights generation and visualisation.",,,Australia
10,Sydney NSW,Opus Recruitment Solutions,Machine Learning Engineer,,"Collaboration with data engineers to build data models and pipelines.
An internationally recognised company I am working with is looking for an experienced…",,,Australia
1,Sydney NSW,Amobee,Pre Sales/Technical Account Management,,"We provide marketers with streamlined, advanced media planning capabilities powered by in-depth analytics and proprietary audience data.",,,Australia
2,Wollongong NSW,Accelo,QA Tester / Automation Engineer,,"Assist with maintaining test data and environments that may be required for any automated test suites.
Accelo is looking for an experienced QA Tester with…",,,Australia
3,Sutherland NSW,Jones Nicholson,Associate Electrical Engineer,,"Competent in the Electrical design of power, data/comms, emergency and exit lighting, smoke detection and security;
JN is where your ideas come to life.",,,Australia
5,Sydney NSW,Hunter Executive Search Consultants,Traffic & Transport Engineers and Modellers,,"Excellent use of data analytics to creat the most effective and efficient outcomes.
Well respected, stable companies, expanding their position in the market.",,,Australia
6,Bankstown NSW,Hawker Pacific,Design Engineer / Senior Design Engineer (Structures & Avionics),,These roles sit within Hawker Pacific's Special Missions business unit which provides aircraft design and project management services locally and…,,,Australia
7,Sydney NSW,Billigence Pty Ltd,Mid level Teradata engineer | Contract | Iconic Australian organisation,,"Headquartered in Sydney, Australia and with offices in Prague and Singapore our passion is data and our focus is the delivery of end-to-end solutions via a…",,,Australia
8,Sydney NSW,Public Sector People,Asset Engineer - Roads and Structural Assets,$35 - $45 an hour,"This role will involve assisting the Principal engineer in all day to day tasks.
Assist the Principal Engineer in ensuring that the City’s Corporate Asset…",,,Australia
10,Sydney NSW,CSR Group,Cemintel Electrical Supervisor - Wetherill Park,,"Experience in working with PLC/SCADA/networks reliability and data.
Working in a leading building products company you will be a highly skilled electrical…",,,Australia
1,Sydney NSW,ResMed,Senior Software Engineer (Software Architect),,"We build, deliver and manage a portfolio of data management platforms and mobile offerings in support of our core businesses.
This is a hands-on role.",,,Australia
2,Sydney Western Suburbs NSW,Michael Page,Project Integration Engineer,,"Work with a global organisation.
Our client is part of one of the largest global manufacturers of satellite antennas and related hardware, and work on…",,,Australia
3,Sydney Inner Suburbs NSW,Suncorp Group,Portfolio Architect,,Provide guidance and mentorship to a virtual team of Technical Leads and software engineers across multiple agile delivery teams.,,,Australia
4,Sydney NSW,KPMG,Senior Cloud Engineer - Business Services,,"Ensure cloud hosted systems are monitored effectively including performance reporting and data storage capacity planning.
Work type: Permanent Full Time.",,,Australia
6,Macquarie Park NSW,Peoplebank,Machine Learning Engineer - NLP/NLU,,"Extensive data modelling and data architecture skills.
This role is required to be able to work closely with data analysts, solution designers, application…",,,Australia
7,Tuggerah NSW,"Modular Mining Systems, Inc.",Performance Assurance Engineer,,"Experience in data/information analysis including building Tableau, Power BI or similar visual analysis reports from various data sets.",,,Australia
8,Sydney NSW,Arup,Senior Project Manager - Data Centre Projects,,"We would highly regard experience covering data centre projects.
We are truly global, and our 14,000 planners, designers, engineers and consultants around the…",,,Australia
9,Sydney NSW,Amazon Corporate Services Pty,Senior Applied Scientist,,Answer complex business questions by using appropriate statistical techniques on available data or designing and running experiments to gather data.,,,Australia
10,Sydney NSW,AWS Australia Pty Ltd,Workforce Management Analyst,,Provides best practices and necessary guidance on scheduling non-casework time for engineers in order to maintain appropriate levels of service coverage.,,,Australia
3,Sydney NSW,Outcomex,Senior Network Engineers,,"(2 x Engineers required in Sydney and 1 x Engineer in Melbourne).
Skills in the following areas will be highly favourable:
Want to join our team?",,,Australia
4,Sydney NSW,Fusion Professionals,"Senior Data Engineer - Python, SPARK, AWS","$80,000 - $150,000 a year","Experience with dimensional data modelling principles (e.g. star and snowflake schemas, denormalised data structures).
Ability to work under pressure.",,,Australia
6,Sydney NSW,Spark Recruitment,DevOps Engineer,"$115,000 a year","Up to 115K base pay.
Work with a leading provider of Big Data Analytics solutions.
Collaborate with experienced and talented team in North Sydney!",,,Australia
9,Sydney NSW,Naviro Pty Ltd,Senior DevOps Engineer,$750 - $850 a day,"My client are offering an extremely lucrative day rate for a Senior DevOps engineer.
Work for a company with great social responsibility.",,,Australia
10,Lane Cove West NSW,Kinexus Australia,Systems Engineer,,"Due to a spike in workload, a premium Defence Engineering client in Sydney is seeking up to 4 Systems Engineers to support on a 6 month engagement.",,,Australia
11,Sydney NSW,RS Components,Strategic Supplier Manager - Purchasing,,"Digital product and supplier performance targets using adobe data.
RS Components is a trading brand of Electrocomponents plc, the global distributor for…",,,Australia
12,Sydney NSW,SiteMinder,Principal Engineer,,"Provide guidance and training to all engineers.
Solid foundation in data structures, algorithms, software design, modern distributed system design and…",,,Australia
3,Sydney NSW,BuildingIQ,Project Co-ordinator – Buildingsense,,"Keywords: engineering, controls, BMS, energy engineer, energy.
Would you like to work in a small, close-knit team where your talents, education and experience…",,,Australia
4,Sydney NSW,WSP Australia,Senior Consultant | Waste Management,,"Analysis and interpretation of waste generation data from client supplied case study data.
Gathering data and advising clients on best practise waste management…",,,Australia
5,Sydney NSW,THE ICONIC,Senior Platforms Engineer,,"In this role you will solve fun problems every day, working closely with your squad of 6 platform engineers.
Our Tech Team is driven by innovation.",,,Australia
6,Tuggerah NSW,"Modular Mining Systems, Inc.",Human Resources Administrator,,"Maintaining employee data and processes associated with the employee life cycle, ensuring HR systems are always accurate and up to date.
What you’ll be doing:",,,Australia
7,Sydney NSW,Amazon Support Services PtyLtd,Senior Software Dev Engineer - AWS Dev Tools,,"Have mentored software engineers to improve their skills, and make them more effective, and productive software engineers.",,,Australia
8,Macquarie Park NSW,Tech Mahindra,ICT Manager-135199,"$150,000 - $160,000 a year","To design solution road map for business analytics use case models and work on machine learning, AI, programming, regression models to cater to use cases for…",,,Australia
9,Sydney NSW,ServiceRocket,Product Manager,"$75,000 - $90,000 a year","Familiarity with platform app development, back-end application and customer usage data infrastructure.
Strong analytical and quantitative skills with the…",,,Australia
11,Sydney NSW,Domain Group,Software Development Team Lead,,"Distributed web or data processing systems.
Relational data stores (PostgreSQL in particular, but otherwise SQL Server, MySQL, or Snowflake is a plus if you…",,,Australia
12,Sydney NSW,Aurec,Machine Learning Engineer,,"This role will see you working within the Digital Technology stream translating data into machine learning models.
Experienced in tuning ML performance.",,,Australia
3,Sydney NSW,Microsoft,APOC CREW Factory Manager,,"Experience working with engineers and product development professionals.
The candidate should also be a strong team player who motivates peers/team, drive root…",,,Australia
4,Sydney NSW,NTT,Technical Consultant - Networking,,"Experience in a technical consultant/lead network engineer capacity.
For us, intelligent means data driven, connected, digital, and secure.",,,Australia
5,Sydney NSW,Proofpoint,Renewal Account Manager,,"Develop customer quotes, manage customer data within Salesforce.com.
Based in our Sydney office, Proofpoint is looking for a self-starting, responsible, mature,…",,,Australia
6,Sydney NSW,Brightcove,Technical Support Engineer: Tier 2 Developer,,If you crave solving real challenging technical problems using the latest tools and working as part of a supportive team of skilled engineers engineers then we…,,,Australia
7,Sydney NSW,Microsoft,Memory Systems Computer Architect,,"The research effort includes a diverse staff of theoretical and experimental physicists, hardware designers and software engineers around the world.",,,Australia
8,Sydney NSW,Salt Recruitment,Full Stack Engineer / Sydney CBD,"$130,000 - $135,000 a year","Customers can access up-to-the-minute data, staff training results, average test scores, personal tests, performance appraisals, surveys and financial data with…",,,Australia
9,Sydney NSW,Datacom,Deskside Support Engineer,"$85,000 - $95,000 a year","Asset refresh, relocation deployment and decommission maintaining data integrity within the CMDB.
We have extensive expertise in operating data centres, IT…",,,Australia
10,Sydney Central Business District NSW,Commonwealth Bank,Executive Manager AI Labs,,"We have some of Australia’s leading engineers and data scientists, and work hard to create an environment that feels more tech than corporate.",,,Australia
11,Sydney NSW,Servian,Senior DevOps Engineer - Automation,,"Lead the implementation of cloud solutions for clients, including infrastructure, data platforms and migration strategy.
OTHER THINGS YOU SHOULD KNOW.",,,Australia
3,Sydney NSW,Michael Page,Systems Engineer - contract role,$600 - $700 a day,"Convenient city location with immediate start.
Join a market leading professional services firm.
Join a market leading international services firm with a global…",,,Australia
4,Sydney NSW,ThoughtSpot,"Customer Success Architect - Sydney, Australia",,"Advise client on data quality requirements for ThoughtSpot.
With ThoughtSpot, users can search to easily analyze their data or automatically get trusted…",,,Australia
5,Sydney NSW,AC3,Platforms & Integrations Engineer,"$125,000 a year","We are a growing business with a focus on three technology areas – cloud and infrastructure, cyber security, and software and data integration.",,,Australia
6,Sydney NSW,Sirius People,L3 Wintel Enginner - VM Ware,,"Experience in data migrations – Process and use of tools like Robocopy.
Data migrations between servers, security permissions and provision of data access.",,,Australia
7,Sydney NSW,Hyre Pty Ltd,Cloud Platforms Engineer | SRE/DevOps | Up to $170K + Super,"$170,000 a year","You will get to work closely within a high performing team of data scientists and data engineers building analytics products for customer retention, dynamic…",,,Australia
8,Bondi Junction NSW,Navartis Limited,SCADA control engineer,$550 - $750 a day,"Monitoring all sites regularly to ensure all components are in working order, communication and data logging is working as expected;",,,Australia
9,Sydney NSW,Sustainability Consulting,DevOps Engineer,,"Flexible times and work life balance, gym membership, Hackathons, data science.
The Python and React code runs two systems; a patient referral system and data…",,,Australia
10,Sydney NSW,Arup,Digital Engineering Design Lead,,"We are truly global, and our 14,000 planners, designers, engineers and consultants around the world deliver innovative projects with creativity and passion.",,,Australia
11,Sydney NSW,Alpha People,Software Engineer - Golang,,"Minimum 5 years of Golang experience for data-intensive application.
Must have experience in CI/CD Pipeline and blue-green deployment.",,,Australia
12,Sydney NSW,NTT,Networking & Mobility Specialist,"$75,000 - $85,000 a year","For us, intelligent means data driven, connected, digital, and secure.
Is innovation part of your DNA?
Do you want to enable a connected future for people,…",,,Australia
3,Sydney NSW,Sirius People,Senior Software Engineer C# - Campaigns Team,,"NET engineer that has solid experience in building simple solutions with complex features.
An Exciting opportunity for a .
I am looking for a strong .",,,Australia
4,Sydney Central Business District NSW,Reliable Resourcing,QA Engineer (Automation),,"Performs moderately complex to complex test data conditioning, regression testing and testing validation.
Provides specific guidance on defects to developers,…",,,Australia
5,Botany NSW,UNITED PARCEL SERVICE,Brokerage System Support (based in Sydney Australia),,"This position serves as liaison between stakeholders, software engineers, and software users.
He/She gathers business requirements, initiates feasibility…",,,Australia
6,Sydney NSW,WSP Australia,Rail Operations Analysis and Modeling Specialist - 2 to 7 years - Melbourne or Sydney,,"Ability to handle numbers, statistics, mass data.
Innovative mindset to translate complex technical data into relevant graphical outputs.",,,Australia
7,Sydney NSW,VMware PSO,"Director Professional Services, TAM, APJ Sydney, New South Wales",,"We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly.
Are you passionate about delivering customer value…",,,Australia
8,Sydney NSW,Macquarie Group Limited,Security Engineering Lead,,"Data acquisition, normalisation and enrichment.
Working as part of Macquarie’s cyber security platforms team, this role involves leading a global team of…",,,Australia
9,Sydney NSW,IT Alliance Australia,Integration Engineer,,"We are hiring for a Integration Engineer for a 1 year+ role for our client at Sydney,Australia.
Develop / troubleshoot a quality and maintainable code base…",,,Australia
